Atomosphere of build,Same Layer Scanned?,Build Direction [degrees],Power [W],Velocity [m/s],Hatch Spacing [μm],Beam Diameter [μm],d90 [um],Nucleants,Powder Shape [0-1],Powder Layer Thickness [μm],Atomization Atomosphere,Powder Recycled How Many Times?,Initial Powder Bed Temperature [K],Substrate/Platform Temperature [K],Printability Evaluation,Surface Energy Density [J/mm2],Linear Energy Density [J/mm],Volume Energy Density [J/mm3]
Argon,1,90,200.0,0.583,90.0,100.0,18.0,0,0.5,40.0,Gas,0.0,298.0,298.0,Fail,3811.701924909472,343.0531732418525,95292.5481227368
Argon,1,90,200.0,0.667,90.0,100.0,18.0,0,0.5,40.0,Gas,0.0,298.0,298.0,Fail,3331.6674995835415,299.8500749625187,83291.68748958856
Argon,1,90,200.0,0.083,90.0,100.0,18.0,0,0.5,40.0,Gas,0.0,298.0,298.0,Success,26773.761713520747,2409.6385542168673,669344.0428380187
Argon,1,90,200.0,0.167,90.0,100.0,18.0,0,0.5,40.0,Gas,0.0,298.0,298.0,Success,13306.71989354624,1197.6047904191616,332667.99733865605
Argon,1,90,200.0,0.417,90.0,100.0,18.0,0,0.5,40.0,Gas,0.0,298.0,298.0,Success,5329.070077271516,479.6163069544365,133226.7519317879
Argon,1,90,200.0,0.583,90.0,100.0,18.0,0,0.5,40.0,Gas,0.0,298.0,298.0,Success,3811.701924909472,343.0531732418525,95292.5481227368
Argon,1,90 (z - direction),120.0,0.4,125.0,80.0,23.5,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2400.0,300.0,48000.0
Argon,1,90 (z - direction),120.0,0.8,125.0,80.0,29.0,0,1,50.0,Gas,0.0,298.0,298.0,Fail,1200.0,150.0,24000.0
Argon,1,90 (z - direction),120.0,1.2,125.0,80.0,34.5,0,1,50.0,Gas,0.0,298.0,298.0,Fail,800.0,100.0,16000.0
Argon,1,90 (z - direction),240.0,0.4,125.0,80.0,40.0,0,1,50.0,Gas,0.0,298.0,298.0,Success,4800.0,600.0,96000.0
Argon,1,90 (z - direction),240.0,0.8,125.0,80.0,45.5,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2400.0,300.0,48000.0
Argon,1,90 (z - direction),240.0,1.2,125.0,80.0,51.0,0,1,50.0,Gas,0.0,298.0,298.0,Fail,1600.0,200.0,32000.0
Argon,1,90 (z - direction),360.0,0.4,125.0,80.0,56.5,0,1,50.0,Gas,0.0,298.0,298.0,Fail,7200.0,900.0,144000.0
Argon,1,90 (z - direction),360.0,0.8,125.0,80.0,62.0,0,1,50.0,Gas,0.0,298.0,298.0,Fail,3600.0,450.0,72000.0
Argon,1,90 (z - direction),360.0,1.2,125.0,80.0,67.5,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2400.0,300.0,48000.0
Argon,1,90,200.0,0.083,70.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,34423.40791738382,2409.6385542168673,860585.1979345955
Argon,1,90,200.0,0.083,90.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,26773.761713520747,2409.6385542168673,669344.0428380187
Argon,1,90,200.0,0.083,110.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,21905.80503833516,2409.6385542168673,547645.1259583789
Argon,1,90,200.0,0.083,130.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,18535.681186283593,2409.6385542168673,463392.02965708985
Argon,1,90,200.0,0.133,70.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,21482.277121374864,1503.7593984962405,537056.9280343717
Argon,1,90,200.0,0.133,90.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,16708.437761069337,1503.7593984962405,417710.9440267335
Argon,1,90,200.0,0.133,110.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,13670.539986329459,1503.7593984962405,341763.4996582365
Argon,1,90,200.0,0.133,130.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,11567.37998843262,1503.7593984962405,289184.49971081555
Argon,1,90,200.0,0.167,70.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,17108.63986313088,1197.6047904191616,427715.996578272
Argon,1,90,200.0,0.167,90.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,13306.71989354624,1197.6047904191616,332667.99733865605
Argon,1,90,200.0,0.167,110.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,10887.316276537833,1197.6047904191616,272182.9069134458
Argon,1,90,200.0,0.167,130.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,9212.34454168586,1197.6047904191616,230308.61354214646
Argon,1,90,200.0,0.25,70.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,11428.571428571428,800.0,285714.28571428574
Argon,1,90,200.0,0.25,90.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,8888.888888888889,800.0,222222.22222222222
Argon,1,90,200.0,0.25,110.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,7272.727272727273,800.0,181818.18181818185
Argon,1,90,200.0,0.25,130.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,6153.846153846153,800.0,153846.15384615384
Argon,1,90,200.0,0.333,70.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,8580.008580008578,600.6006006006006,214500.2145002145
Argon,1,90,200.0,0.333,90.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,6673.340006673339,600.6006006006006,166833.5001668335
Argon,1,90,200.0,0.333,110.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,5460.00546000546,600.6006006006006,136500.1365001365
Argon,1,90,200.0,0.333,130.0,100.0,73.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,4620.00462000462,600.6006006006006,115500.11550011551
Argon,1,90,450.0,3.5,60.0,80.0,42.15,0,1,30.0,Gas,0.0,298.0,473.0,Fail,2142.857142857143,128.57142857142858,71428.57142857143
Nitrogen,1,90,350.0,0.9,130.0,100.0,77.7,0,1,30.0,Gas,0.0,298.0,373.0,Success,2991.4529914529912,388.88888888888886,99715.09971509973
Argon,1,90,170.0,0.6666666666666666,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,1821.4285714285716,255.0,30357.14285714286
Argon,1,90,170.0,0.6,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2023.8095238095236,283.33333333333337,33730.158730158735
Argon,1,90,170.0,0.5454545454545454,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2226.1904761904766,311.6666666666667,37103.1746031746
Argon,1,90,170.0,0.5,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2428.5714285714284,340.0,40476.19047619048
Argon,1,90,180.0,0.6666666666666666,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,1928.5714285714287,270.0,32142.857142857145
Argon,1,90,180.0,0.6,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2142.8571428571427,300.0,35714.28571428572
Argon,1,90,180.0,0.5454545454545454,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2357.1428571428573,330.0,39285.71428571429
Argon,1,90,180.0,0.5,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2571.428571428571,360.0,42857.14285714286
Argon,1,90,190.0,0.6666666666666666,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2035.714285714286,285.0,33928.57142857143
Argon,1,90,190.0,0.6,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2261.904761904762,316.6666666666667,37698.41269841271
Argon,1,90,190.0,0.5454545454545454,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2488.0952380952385,348.33333333333337,41468.25396825397
Argon,1,90,190.0,0.5,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2714.285714285714,380.0,45238.095238095244
Argon,1,90,200.0,0.6666666666666666,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2142.857142857143,300.0,35714.28571428572
Argon,1,90,200.0,0.6,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2380.9523809523807,333.33333333333337,39682.53968253969
Argon,1,90,200.0,0.5454545454545454,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2619.0476190476193,366.6666666666667,43650.793650793654
Argon,1,90,200.0,0.5,140.0,80.0,52.0,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2857.142857142857,400.0,47619.04761904762
Argon,1,Z - direction,125.0,0.7,80.0,50.0,51.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,2232.142857142857,178.57142857142858,37202.380952380954
Argon,1,Z - direction,125.0,0.7,140.0,50.0,51.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1275.5102040816325,178.57142857142858,21258.503401360544
Argon,1,Z - direction,125.0,0.7,200.0,50.0,51.25,0,1,60.0,Gas,0.0,298.0,388.13,Fail,892.8571428571428,178.57142857142858,14880.952380952382
Argon,1,Z - direction,125.0,0.95,80.0,50.0,51.0,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1644.7368421052631,131.57894736842107,27412.280701754386
Argon,1,Z - direction,125.0,0.95,140.0,50.0,50.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,939.8496240601503,131.57894736842107,15664.160401002508
Argon,1,Z - direction,125.0,0.95,200.0,50.0,50.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,657.8947368421052,131.57894736842107,10964.912280701756
Argon,1,Z - direction,125.0,1.2,80.0,50.0,50.25,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1302.0833333333333,104.16666666666667,21701.38888888889
Argon,1,Z - direction,125.0,1.2,140.0,50.0,50.0,0,1,60.0,Gas,0.0,298.0,388.13,Fail,744.047619047619,104.16666666666667,12400.793650793652
Argon,1,Z - direction,125.0,1.2,200.0,50.0,49.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,520.8333333333334,104.16666666666667,8680.555555555557
Argon,1,Z - direction,200.0,0.7,80.0,50.0,49.5,0,1,60.0,Gas,0.0,298.0,388.13,Fail,3571.4285714285716,285.7142857142857,59523.80952380953
Argon,1,Z - direction,200.0,0.7,140.0,50.0,49.25,0,1,60.0,Gas,0.0,298.0,388.13,Success,2040.816326530612,285.7142857142857,34013.60544217687
Argon,1,Z - direction,200.0,0.7,200.0,50.0,49.0,0,1,60.0,Gas,0.0,298.0,388.13,Fail,1428.5714285714284,285.7142857142857,23809.52380952381
Argon,1,Z - direction,200.0,0.95,80.0,50.0,48.75,0,1,60.0,Gas,0.0,298.0,388.13,Fail,2631.5789473684213,210.5263157894737,43859.64912280702
