Atomosphere of build,Same Layer Scanned?,Build Direction [degrees],Power [W],Velocity [m/s],Hatch Spacing [μm],Beam Diameter [μm],d90 [um],Nucleants,Powder Shape [0-1],Powder Layer Thickness [μm],Atomization Atomosphere,Powder Recycled How Many Times?,Initial Powder Bed Temperature [K],Substrate/Platform Temperature [K],Printability Evaluation,Surface Energy Density [J/mm2],Linear Energy Density [J/mm],Volume Energy Density [J/mm3]
Argon,1,90,300.0,0.9,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,6060.60606060606,333.3333333333333,80808.08080808082
Argon,1,90,300.0,1.5,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,3636.363636363636,200.0,48484.84848484849
Argon,1,90,400.0,0.4,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,18181.818181818184,1000.0,242424.24242424243
Argon,1,90,400.0,0.6,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,12121.21212121212,666.6666666666667,161616.16161616164
Argon,1,90,400.0,0.8,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,9090.909090909092,500.0,121212.12121212122
Argon,1,90,400.0,1.0,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,7272.727272727273,400.0,96969.69696969696
Argon,1,90,400.0,1.2,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,6060.60606060606,333.33333333333337,80808.08080808082
Argon,1,90,400.0,2.0,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,3636.3636363636365,200.0,48484.84848484848
Argon,1,90,500.0,0.5,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,18181.81818181818,1000.0,242424.2424242424
Argon,1,90,500.0,0.75,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,12121.21212121212,666.6666666666666,161616.16161616164
Argon,1,90,500.0,1.0,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,9090.90909090909,500.0,121212.1212121212
Argon,1,90,500.0,1.25,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,7272.727272727272,400.0,96969.69696969698
Argon,1,90,500.0,1.5,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,6060.60606060606,333.3333333333333,80808.08080808082
Argon,1,90,500.0,2.5,55.0,55.0,45.0,0,1,75.0,Gas,0.0,298.0,298.0,Fail,3636.363636363636,200.0,48484.84848484849
Argon,1,90,50.0,0.01,1500.0,50.0,200.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,3333.3333333333335,5000.0,83333.33333333334
Argon,1,90,60.0,0.01,1500.0,50.0,200.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,4000.0,6000.0,100000.00000000001
Argon,1,90,70.0,0.01,1500.0,50.0,200.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,4666.666666666667,7000.0,116666.66666666667
Argon,1,90,80.0,0.01,1500.0,50.0,200.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,5333.333333333334,8000.0,133333.33333333334
Argon,1,90,90.0,0.01,1500.0,50.0,200.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,6000.0,9000.0,150000.0
Argon,1,90,100.0,0.01,1500.0,50.0,200.0,0,1,40.0,Gas,0.0,298.0,298.0,Fail,6666.666666666667,10000.0,166666.6666666667
Argon,1,z direction,90.0,0.1,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Fail,11250.0,900.0,450000.00000000006
Argon,1,z direction,90.0,0.2,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Fail,5625.0,450.0,225000.00000000003
Argon,1,z direction,90.0,0.3,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Fail,3750.0,300.0,150000.0
Argon,1,z direction,90.0,0.4,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Fail,2812.5,225.0,112500.00000000001
Argon,1,z direction,90.0,0.6,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Success,1875.0,150.0,75000.0
Argon,1,z direction,90.0,0.8,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Success,1406.25,112.5,56250.00000000001
Argon,1,z direction,90.0,1.2,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Fail,937.5,75.0,37500.0
Argon,1,z direction,90.0,1.6,80.0,110.0,47.49,0,1,25.0,Argon,0.0,298.0,298.0,Fail,703.125,56.25,28125.000000000004
Argon,1,90,40.0,0.12,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3333.3333333333335,333.33333333333337,111111.11111111112
Argon,1,90,40.0,0.24,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1666.6666666666667,166.66666666666669,55555.55555555556
Argon,1,90,40.0,0.36,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1111.111111111111,111.11111111111111,37037.03703703704
Argon,1,90,40.0,0.48,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,833.3333333333334,83.33333333333334,27777.77777777778
Argon,1,90,40.0,0.6,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,666.6666666666667,66.66666666666667,22222.222222222223
Argon,1,90,40.0,0.72,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,555.5555555555555,55.55555555555556,18518.51851851852
Argon,1,90,40.0,0.84,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,476.19047619047615,47.61904761904762,15873.015873015875
Argon,1,90,40.0,0.96,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,416.6666666666667,41.66666666666667,13888.88888888889
Argon,1,90,40.0,1.08,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,370.3703703703704,37.03703703703704,12345.67901234568
Argon,1,90,40.0,1.2,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,333.33333333333337,33.333333333333336,11111.111111111111
Argon,1,90,40.0,1.32,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,303.030303030303,30.3030303030303,10101.0101010101
Argon,1,90,40.0,1.44,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,277.77777777777777,27.77777777777778,9259.25925925926
Argon,1,90,40.0,1.56,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,256.4102564102564,25.64102564102564,8547.008547008547
Argon,1,90,80.0,0.12,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,6666.666666666667,666.6666666666667,222222.22222222225
Argon,1,90,80.0,0.24,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3333.3333333333335,333.33333333333337,111111.11111111112
Argon,1,90,80.0,0.36,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2222.222222222222,222.22222222222223,74074.07407407407
Argon,1,90,80.0,0.48,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1666.6666666666667,166.66666666666669,55555.55555555556
Argon,1,90,80.0,0.6,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1333.3333333333335,133.33333333333334,44444.444444444445
Argon,1,90,80.0,0.72,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1111.111111111111,111.11111111111111,37037.03703703704
Argon,1,90,80.0,0.84,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,952.3809523809523,95.23809523809524,31746.03174603175
Argon,1,90,80.0,0.96,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,833.3333333333334,83.33333333333334,27777.77777777778
Argon,1,90,80.0,1.08,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,740.7407407407408,74.07407407407408,24691.35802469136
Argon,1,90,80.0,1.2,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,666.6666666666667,66.66666666666667,22222.222222222223
Argon,1,90,80.0,1.32,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,606.060606060606,60.6060606060606,20202.0202020202
Argon,1,90,80.0,1.44,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,555.5555555555555,55.55555555555556,18518.51851851852
Argon,1,90,80.0,1.56,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,512.8205128205128,51.28205128205128,17094.017094017094
Argon,1,90,120.0,0.12,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,10000.0,1000.0,333333.3333333334
Argon,1,90,120.0,0.24,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,5000.0,500.0,166666.6666666667
Argon,1,90,120.0,0.36,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3333.333333333333,333.33333333333337,111111.11111111111
Argon,1,90,120.0,0.48,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2500.0,250.0,83333.33333333334
Argon,1,90,120.0,0.6,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2000.0,200.0,66666.66666666667
Argon,1,90,120.0,0.72,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1666.6666666666665,166.66666666666669,55555.555555555555
Argon,1,90,120.0,0.84,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1428.5714285714284,142.85714285714286,47619.047619047626
Argon,1,90,120.0,0.96,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1250.0,125.0,41666.66666666667
Argon,1,90,120.0,1.08,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1111.111111111111,111.1111111111111,37037.03703703704
Argon,1,90,120.0,1.2,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1000.0,100.0,33333.333333333336
Argon,1,90,120.0,1.32,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,909.090909090909,90.9090909090909,30303.030303030304
Argon,1,90,120.0,1.44,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,833.3333333333333,83.33333333333334,27777.777777777777
Argon,1,90,120.0,1.56,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,769.2307692307693,76.92307692307692,25641.02564102564
Argon,1,90,160.0,0.12,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,13333.333333333334,1333.3333333333335,444444.4444444445
Argon,1,90,160.0,0.24,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,6666.666666666667,666.6666666666667,222222.22222222225
Argon,1,90,160.0,0.36,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,4444.444444444444,444.44444444444446,148148.14814814815
Argon,1,90,160.0,0.48,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3333.3333333333335,333.33333333333337,111111.11111111112
Argon,1,90,160.0,0.6,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2666.666666666667,266.6666666666667,88888.88888888889
Argon,1,90,160.0,0.72,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2222.222222222222,222.22222222222223,74074.07407407407
Argon,1,90,160.0,0.84,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1904.7619047619046,190.47619047619048,63492.0634920635
Argon,1,90,160.0,0.96,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1666.6666666666667,166.66666666666669,55555.55555555556
Argon,1,90,160.0,1.08,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1481.4814814814815,148.14814814814815,49382.71604938272
Argon,1,90,160.0,1.2,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1333.3333333333335,133.33333333333334,44444.444444444445
Argon,1,90,160.0,1.32,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1212.121212121212,121.2121212121212,40404.0404040404
Argon,1,90,160.0,1.44,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1111.111111111111,111.11111111111111,37037.03703703704
Argon,1,90,160.0,1.56,100.0,80.0,44.31,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1025.6410256410256,102.56410256410255,34188.03418803419
Argon,1,90,100.0,0.15,100.0,100.0,44.20280701754386,0,1,50.0,Gas,0.0,298.0,298.0,Fail,6666.666666666667,666.6666666666667,133333.33333333334
Argon,1,90,100.0,0.2,100.0,100.0,44.09561403508772,0,1,50.0,Gas,0.0,298.0,298.0,Fail,5000.0,500.0,100000.0
Argon,1,90,100.0,0.3,100.0,100.0,43.98842105263158,0,1,50.0,Gas,0.0,298.0,298.0,Fail,3333.3333333333335,333.33333333333337,66666.66666666667
Argon,1,90,100.0,0.5,100.0,100.0,43.88122807017544,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2000.0,200.0,40000.0
Argon,1,90,100.0,0.6,100.0,100.0,43.7740350877193,0,1,50.0,Gas,0.0,298.0,298.0,Fail,1666.6666666666667,166.66666666666669,33333.333333333336
Argon,1,90,120.0,0.15,100.0,100.0,43.66684210526316,0,1,50.0,Gas,0.0,298.0,298.0,Fail,8000.0,800.0,160000.0
Argon,1,90,120.0,0.2,100.0,100.0,43.559649122807016,0,1,50.0,Gas,0.0,298.0,298.0,Fail,6000.0,600.0,120000.0
Argon,1,90,120.0,0.3,100.0,100.0,43.45245614035088,0,1,50.0,Gas,0.0,298.0,298.0,Fail,4000.0,400.0,80000.0
Argon,1,90,120.0,0.5,100.0,100.0,43.34526315789474,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2400.0,240.0,48000.0
Argon,1,90,120.0,0.6,100.0,100.0,43.2380701754386,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2000.0,200.0,40000.0
Argon,1,90,140.0,0.15,100.0,100.0,43.13087719298246,0,1,50.0,Gas,0.0,298.0,298.0,Fail,9333.333333333334,933.3333333333334,186666.66666666666
Argon,1,90,140.0,0.2,100.0,100.0,43.02368421052632,0,1,50.0,Gas,0.0,298.0,298.0,Fail,7000.0,700.0,140000.0
Argon,1,90,140.0,0.3,100.0,100.0,42.91649122807018,0,1,50.0,Gas,0.0,298.0,298.0,Fail,4666.666666666667,466.6666666666667,93333.33333333333
Argon,1,90,140.0,0.5,100.0,100.0,42.80929824561404,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2800.0,280.0,56000.0
Argon,1,90,140.0,0.6,100.0,100.0,42.7021052631579,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2333.3333333333335,233.33333333333334,46666.666666666664
Argon,1,90,160.0,0.15,100.0,100.0,42.594912280701756,0,1,50.0,Gas,0.0,298.0,298.0,Fail,10666.666666666668,1066.6666666666667,213333.33333333334
Argon,1,90,160.0,0.2,100.0,100.0,42.487719298245615,0,1,50.0,Gas,0.0,298.0,298.0,Fail,8000.0,800.0,160000.0
Argon,1,90,160.0,0.3,100.0,100.0,42.380526315789474,0,1,50.0,Gas,0.0,298.0,298.0,Fail,5333.333333333334,533.3333333333334,106666.66666666667
Argon,1,90,160.0,0.5,100.0,100.0,42.27333333333333,0,1,50.0,Gas,0.0,298.0,298.0,Fail,3200.0,320.0,64000.0
Argon,1,90,160.0,0.6,100.0,100.0,42.16614035087719,0,1,50.0,Gas,0.0,298.0,298.0,Fail,2666.666666666667,266.6666666666667,53333.333333333336
Argon,1,90,180.0,0.15,100.0,100.0,42.05894736842106,0,1,50.0,Gas,0.0,298.0,298.0,Fail,12000.0,1200.0,240000.0
Argon,1,90,180.0,0.2,100.0,100.0,41.95175438596492,0,1,50.0,Gas,0.0,298.0,298.0,Fail,9000.0,900.0,180000.0
Argon,1,90,180.0,0.3,100.0,100.0,41.84456140350878,0,1,50.0,Gas,0.0,298.0,298.0,Fail,6000.0,600.0,120000.0
Argon,1,90,180.0,0.5,100.0,100.0,41.737368421052636,0,1,50.0,Gas,0.0,298.0,298.0,Fail,3600.0,360.0,72000.0
Argon,1,90,180.0,0.6,100.0,100.0,41.630175438596495,0,1,50.0,Gas,0.0,298.0,298.0,Fail,3000.0,300.0,60000.0
Argon,1,90,100.0,0.57,20.0,80.0,41.522982456140355,0,1,80.0,Gas,0.0,298.0,298.0,Fail,8771.929824561405,175.43859649122808,109649.12280701756
Argon,1,90,100.0,0.7,20.0,80.0,41.415789473684214,0,1,80.0,Gas,0.0,298.0,298.0,Fail,7142.857142857143,142.85714285714286,89285.71428571429
Argon,1,90,80.0,0.7,20.0,80.0,41.30859649122807,0,1,80.0,Gas,0.0,298.0,298.0,Fail,5714.285714285714,114.28571428571429,71428.57142857143
Argon,1,90,100.0,1.7,20.0,80.0,41.20140350877193,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2941.176470588235,58.82352941176471,49019.60784313726
Argon,1,90,80.0,1.7,20.0,80.0,41.09421052631579,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,39215.68627450981
Argon,1,90,80.0,1.7,20.0,80.0,40.98701754385965,0,1,80.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,29411.764705882357
Argon,1,90,80.0,2.1,20.0,80.0,40.87982456140351,0,1,80.0,Gas,0.0,298.0,298.0,Fail,1904.7619047619046,38.095238095238095,23809.523809523813
Argon,1,90,100.0,0.57,20.0,80.0,40.77263157894737,0,1,80.0,Gas,0.0,298.0,298.0,Fail,8771.929824561405,175.43859649122808,109649.12280701756
Argon,1,90,100.0,0.7,20.0,80.0,40.66543859649123,0,1,80.0,Gas,0.0,298.0,298.0,Fail,7142.857142857143,142.85714285714286,89285.71428571429
Argon,1,90,80.0,0.7,20.0,80.0,40.55824561403509,0,1,80.0,Gas,0.0,298.0,298.0,Fail,5714.285714285714,114.28571428571429,71428.57142857143
Argon,1,90,100.0,1.7,20.0,80.0,40.451052631578946,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2941.176470588235,58.82352941176471,49019.60784313726
Argon,1,90,80.0,1.7,20.0,80.0,40.34385964912281,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,39215.68627450981
Argon,1,90,80.0,1.7,20.0,80.0,40.23666666666667,0,1,80.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,29411.764705882357
Argon,1,90,80.0,2.1,20.0,80.0,40.12947368421053,0,1,80.0,Gas,0.0,298.0,298.0,Fail,1904.7619047619046,38.095238095238095,23809.523809523813
Argon,1,90,100.0,0.57,20.0,80.0,40.02228070175439,0,1,80.0,Gas,0.0,298.0,298.0,Fail,8771.929824561405,175.43859649122808,109649.12280701756
Argon,1,90,100.0,0.7,20.0,80.0,39.91508771929825,0,1,80.0,Gas,0.0,298.0,298.0,Fail,7142.857142857143,142.85714285714286,89285.71428571429
Argon,1,90,80.0,0.7,20.0,80.0,39.80789473684211,0,1,80.0,Gas,0.0,298.0,298.0,Fail,5714.285714285714,114.28571428571429,71428.57142857143
Argon,1,90,100.0,1.7,20.0,80.0,39.70070175438597,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2941.176470588235,58.82352941176471,49019.60784313726
Argon,1,90,80.0,1.7,20.0,80.0,39.59350877192983,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,39215.68627450981
Argon,1,90,80.0,1.7,20.0,80.0,39.486315789473686,0,1,80.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,29411.764705882357
Argon,1,90,80.0,2.1,20.0,80.0,39.379122807017545,0,1,80.0,Gas,0.0,298.0,298.0,Fail,1904.7619047619046,38.095238095238095,23809.523809523813
Argon,1,90,100.0,0.57,20.0,80.0,39.271929824561404,0,1,80.0,Gas,0.0,298.0,298.0,Fail,8771.929824561405,175.43859649122808,109649.12280701756
Argon,1,90,100.0,0.7,20.0,80.0,39.16473684210526,0,1,80.0,Gas,0.0,298.0,298.0,Fail,7142.857142857143,142.85714285714286,89285.71428571429
Argon,1,90,80.0,0.7,20.0,80.0,39.05754385964913,0,1,80.0,Gas,0.0,298.0,298.0,Fail,5714.285714285714,114.28571428571429,71428.57142857143
Argon,1,90,100.0,1.7,20.0,80.0,38.95035087719299,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2941.176470588235,58.82352941176471,49019.60784313726
Argon,1,90,80.0,1.7,20.0,80.0,38.84315789473685,0,1,60.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,39215.68627450981
Argon,1,90,80.0,1.7,20.0,80.0,38.73596491228071,0,1,80.0,Gas,0.0,298.0,298.0,Fail,2352.9411764705883,47.05882352941177,29411.764705882357
Argon,1,90,80.0,2.1,20.0,80.0,38.628771929824566,0,1,80.0,Gas,0.0,298.0,298.0,Fail,1904.7619047619046,38.095238095238095,23809.523809523813
Argon,1,90,225.0,1.0,120.0,80.0,38.521578947368425,0,1,30.0,Gas,0.0,298.0,298.0,Success,1875.0,225.0,62500.0
Argon,1,90,225.0,1.0,120.0,80.0,38.414385964912285,0,1,30.0,Gas,0.0,298.0,298.0,Success,1875.0,225.0,62500.0
Argon,1,90,325.0,1.0,120.0,80.0,38.307192982456144,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2708.3333333333335,325.0,90277.77777777778
Argon,1,90,90.0,0.6,80.0,80.0,38.2,0,1,25.0,Gas,0.0,298.0,298.0,Fail,1875.0,150.0,75000.0
Argon,1,90,340.0,1.2,70.0,80.0,45.16666666666667,0,1,50.0,Gas,0.0,298.0,298.0,Success,4047.6190476190473,283.33333333333337,80952.38095238096
Argon,1,90,340.0,1.2,70.0,80.0,52.13333333333333,0,1,50.0,Gas,0.0,298.0,298.0,Success,4047.6190476190473,283.33333333333337,80952.38095238096
Argon,1,90,340.0,1.2,70.0,80.0,59.1,0,1,50.0,Gas,0.0,298.0,298.0,Success,4047.6190476190473,283.33333333333337,80952.38095238096
Argon,1,90,340.0,1.2,70.0,80.0,66.06666666666666,0,1,50.0,Gas,0.0,298.0,298.0,Success,4047.6190476190473,283.33333333333337,80952.38095238096
Argon,1,90,340.0,1.2,70.0,80.0,73.03333333333333,0,1,50.0,Gas,0.0,298.0,298.0,Success,4047.6190476190473,283.33333333333337,80952.38095238096
Argon,1,90,140.0,9.0,100.0,50.0,80.0,0,1,59.329880952380954,Gas,0.0,298.0,353.0,Fail,155.55555555555554,15.555555555555555,2621.875403397603
Argon,1,90,280.0,0.8,100.0,100.0,79.42916666666666,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3500.0,350.0,116666.66666666667
Argon,1,90,280.0,1.2,100.0,100.0,78.85833333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2333.3333333333335,233.33333333333334,77777.77777777778
Argon,1,90,280.0,1.6,100.0,100.0,78.2875,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1750.0,175.0,58333.333333333336
Argon,1,90,280.0,2.2,100.0,100.0,77.71666666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1272.7272727272725,127.27272727272727,42424.24242424242
Argon,1,90,215.0,0.58,100.0,100.0,77.14583333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3706.896551724138,370.68965517241384,123563.21839080461
Argon,1,90,215.0,0.8,100.0,100.0,76.575,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2687.5,268.75,89583.33333333334
Argon,1,90,215.0,1.2,100.0,100.0,76.00416666666666,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1791.6666666666667,179.16666666666669,59722.222222222226
Argon,1,90,115.0,0.58,100.0,100.0,75.43333333333334,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1982.7586206896553,198.27586206896552,66091.95402298852
Argon,1,90,115.0,0.8,100.0,100.0,74.8625,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1437.5,143.75,47916.66666666667
Argon,1,90,155.0,0.58,100.0,100.0,74.29166666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2672.4137931034484,267.2413793103448,89080.45977011495
Argon,1,90,155.0,1.2,100.0,100.0,73.72083333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1291.6666666666667,129.16666666666669,43055.555555555555
Argon,1,90,155.0,1.6,100.0,100.0,73.15,0,1,30.0,Gas,0.0,298.0,298.0,Fail,968.75,96.875,32291.666666666668
Argon,1,90,215.0,1.6,100.0,100.0,72.57916666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1343.75,134.375,44791.66666666667
Argon,1,90,370.0,1.05,100.0,100.0,72.00833333333334,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3523.809523809524,352.38095238095235,117460.31746031746
Argon,1,90,280.0,0.8,100.0,100.0,71.4375,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3500.0,350.0,116666.66666666667
Argon,1,90,280.0,1.2,100.0,100.0,70.86666666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2333.3333333333335,233.33333333333334,77777.77777777778
Argon,1,90,280.0,1.6,100.0,100.0,70.29583333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1750.0,175.0,58333.333333333336
Argon,1,90,280.0,2.2,100.0,100.0,69.725,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1272.7272727272725,127.27272727272727,42424.24242424242
Argon,1,90,215.0,0.58,100.0,100.0,69.15416666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3706.896551724138,370.68965517241384,123563.21839080461
Argon,1,90,215.0,0.8,100.0,100.0,68.58333333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2687.5,268.75,89583.33333333334
Argon,1,90,215.0,1.2,100.0,100.0,68.0125,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1791.6666666666667,179.16666666666669,59722.222222222226
Argon,1,90,115.0,0.58,100.0,100.0,67.44166666666666,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1982.7586206896553,198.27586206896552,66091.95402298852
Argon,1,90,115.0,0.8,100.0,100.0,66.87083333333334,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1437.5,143.75,47916.66666666667
Argon,1,90,155.0,0.58,100.0,100.0,66.3,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2672.4137931034484,267.2413793103448,89080.45977011495
Argon,1,90,155.0,1.2,100.0,100.0,65.72916666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1291.6666666666667,129.16666666666669,43055.555555555555
Argon,1,90,155.0,1.6,100.0,100.0,65.15833333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,968.75,96.875,32291.666666666668
Argon,1,90,215.0,1.6,100.0,100.0,64.5875,0,1,30.0,Gas,0.0,298.0,298.0,Fail,1343.75,134.375,44791.66666666667
Argon,1,90,370.0,1.05,100.0,100.0,64.01666666666667,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3523.809523809524,352.38095238095235,117460.31746031746
Argon,1,90,280.0,0.8,100.0,100.0,63.44583333333333,0,1,30.0,Gas,0.0,298.0,298.0,Fail,3500.0,350.0,116666.66666666667
Argon,1,90,280.0,1.2,100.0,100.0,62.875,0,1,30.0,Gas,0.0,298.0,298.0,Fail,2333.3333333333335,233.33333333333334,77777.77777777778
